"","Brum.HAP1.GTS","Brum.KBM7.GTS","Weis14.csa.avg","Sabb15.KBM7.cs","Sabb15.K562.cs","Sabb15.Jiyoye.cs","Sabb15.Raji.cs","Sabb17.EOL","Sabb17.HEL","Sabb17.MOLM13","Sabb17.MonoMac1","Sabb17.NB4.rep1","Sabb17.NB4.rep2","Sabb17.OCI.AML2","Sabb17.OCI.AML3","Sabb17.OCI.AML5","Sabb17.P31.FUJ","Sabb17.PL21","Sabb17.SKM1","Sabb17.TF1","Sabb17.THP1","CGC_Tier","TSgene","rank"
"2735",0.510785305,0.518518519,-0.022206666,-0.095,0.151,0.166,0.21,0.186,0.061,-0.173,-0.163,-0.1,-0.253,0.207,0.145,0.463,0.065,-0.44,-0.029,-0.158,0.064,0,0,6586
"2736",0.551767677,0.555555556,-0.001938719,0.245,-0.536,0.425,-0.158,-0.439,-0.638,-0.568,-0.358,-0.067,-0.691,-0.338,-0.968,-0.378,-0.717,-0.459,-0.53,-0.859,-0.279,0,0,11732
"2737",0.50609319,0.54155496,-0.022130702,-0.041,-0.436,-0.295,-0.047,-0.46,-0.127,-0.692,-0.357,0.018,-0.507,-0.357,-0.141,-0.741,-0.235,0.159,-0.696,0.116,0.082,0,0,2559
"2738",0.512277731,0.428571429,-0.001107623,0.125,0.13,0.166,0.508,-0.28,0.501,-0.208,0.251,0.208,-0.174,-0.011,0.158,0.154,0.125,0.067,0.151,-0.129,0.3,0,0,15453
"2739",0.538720539,0.509572301,0.028021527,-0.004,-0.16,-0.381,-0.104,0.063,-0.23,0.064,-0.31,-0.089,-0.351,-0.028,-0.012,-0.09,-0.097,-1.517,-0.503,-0.5,-0.315,0,0,15843
"2740",0.56281407,0.591836735,-0.04389244,-0.039,0.159,-0.062,0.112,0.115,0.431,0.617,0.031,0.246,0.064,0.116,0.193,0.214,0.457,-0.52,0.2,-0.379,0.099,0,0,3653
"2741",0.504643963,0.464480874,-0.012681556,-0.49,-0.461,-0.414,-0.051,-0.585,-0.509,-0.429,-0.184,-0.346,-0.783,-0.315,-0.208,-0.512,-0.199,0.024,-0.392,-0.835,-0.252,0,0,7472
"2742",0.499036812,0.496274218,-0.0074223265,0.225,0.019,0.254,0.38,-0.024,0.209,0.601,-0.143,0.184,0.211,-0.041,-0.485,0.064,0.31,-0.488,-0.121,0.001,0.16,0,0,1849
"2743",0.50184414,0.50802139,-0.032597219,-0.353,-0.708,-0.124,-0.411,-0.696,-0.507,-0.868,-0.32,-0.07,-0.605,-0.508,-0.722,-1.212,-0.321,-0.467,-0.292,-0.284,-0.855,0,0,7628
"2744",0.499036812,0.496274218,0.009054896,-0.028,-0.284,0.176,0.108,-0.096,0.065,-0.213,0.44,0.134,-0.187,0.133,-0.1,0.065,0.192,0.082,-0.04,0.013,0.18,0,0,15237
"2745",0.614349776,0.695652174,0.006374355,-0.219,-0.924,-0.087,-0.096,-0.073,-0.25,-0.206,-0.241,-0.393,-0.067,-0.218,0.042,-0.083,0.063,0.041,-0.061,-0.155,0.101,0,0,17976
"2746",0.499036812,0.496274218,-0.016160798,0.378,0.181,0.176,0.211,0.014,0.099,0.211,-0.021,0.027,-0.026,0.365,0.037,0.252,0.211,-0.161,-0.114,-0.137,0.026,0,1,6148
"2747",0.366666667,0.090909091,0.002389269,-0.171,-0.379,-0.164,0.069,-0.265,-0.582,0.085,0.034,-0.264,-0.055,-0.314,-0.373,-0.467,-0.336,-0.175,-0.183,-0.477,-0.142,0,0,15350
"2748",0.497109827,0.555555556,-0.0074223265,0.378,0.447,0.071,0.348,0.173,0.167,0.213,0.195,0.513,0.201,0.21,-0.265,0.19,0.194,-0.26,0.281,0.042,0.578,0,0,15931
"2749",0.517421603,0.475409836,-0.031282895,0.074,-0.036,-0.097,-0.245,0.01,-0.071,-0.354,0.018,0.104,0.054,0.053,0.16,0.086,0.091,-0.11,-0.112,0.242,-0.446,0,0,3800
"2750",0.513274336,0.496487119,-0.014779039,-0.309,-0.458,0.175,-0.108,-0.566,0.032,-1.06,-0.287,-0.11,0.152,-0.853,-0.208,-0.65,-0.435,-0.269,-0.292,-0.545,0.044,0,0,14577
"2751",0.513888889,0.43902439,0.002933552,0.14,0.035,0.244,0.08,-0.083,0.035,-0.167,-0.235,0.036,0.015,0.19,-0.197,-0.288,-0.062,0.096,0.111,0.331,-0.183,0,0,18100
"2752",0.520928463,0.463333333,-0.007522962,-0.037,-0.548,-0.167,-0.633,-0.153,0.003,-0.162,0.076,-0.149,-0.02,-0.28,-0.753,0.133,-0.159,-0.747,-0.481,-0.281,-0.098,0,0,12804
