,Gene,TS_status,pred_prob
406,LAT2,0,0.196997475
248,MMD2,0,0.196814252
769,METTL2B,0,0.196368204
189,FAM71F1,0,0.196304955
709,COPG2,0,0.196295221
63,KCND2,0,0.196040671
676,STK17A,0,0.196008402
3,ADCY1,0,0.195945881
135,OR2F1,0,0.195541555
432,SCRN1,0,0.195528135
275,SPDYE1,0,0.195327128
770,NSUN5,0,0.195304947
199,OR9A4,0,0.195271777
864,PAPOLB,0,0.19509075
103,TFPI2,0,0.195069287
1,AOC1,0,0.194568027
568,TRIM4,0,0.194526484
574,ASL,0,0.194469891
499,NUB1,0,0.194419712
591,AP1S1,0,0.193584255
599,MAD1L1,0,0.19340718
454,OSBPL3,0,0.193134039
252,SRRM3,0,0.192932463
513,YKT6,0,0.192731929
755,FKBP14,0,0.192686927
794,TPST1,0,0.192580709
69,NPY,0,0.192355541
66,MET,0,0.192110416
761,KIAA1324L,0,0.191633634
53,HOXA2,0,0.191571727
338,OCM,0,0.191525614
708,TECPR1,0,0.191004578
229,CRYGN,0,0.190914876
105,FKBP6,0,0.19081133
160,TRPV6,0,0.190599846
339,RSPH10B2,0,0.190544873
774,FBXL18,0,0.189918876
710,ZNF92,0,0.189836531
287,OR2A1,0,0.18947288
424,LRCH4,0,0.189447722
326,AKR1B15,0,0.189261571
543,NT5C3A,0,0.189188852
810,SLC37A3,0,0.188909901
276,TCAF2,0,0.188856612
354,RASA4B,0,0.188849436
264,MBLAC1,0,0.188782062
94,AKR1D1,0,0.188723004
289,MOGAT3,0,0.188633225
750,HDAC9,0,0.188535682
705,PPP1R35,0,0.188488779
259,RSPH10B,0,0.188289878
652,KEL,0,0.188020887
885,PCLO,0,0.187883277
174,MYL7,0,0.187761349
271,TAS2R41,0,0.187713483
780,SVOPL,0,0.187698241
305,GTF2IRD2B,0,0.187672454
331,LMOD2,0,0.187605607
12,SEPTIN7,0,0.187526496
26,GSDME,0,0.187526496
39,GARS1,0,0.187526496
109,ATP5MF,0,0.187526496
122,NUP42,0,0.187526496
159,MAP11,0,0.187526496
162,VPS50,0,0.187526496
169,YAE1,0,0.187526496
172,DENND11,0,0.187526496
180,CYREN,0,0.187526496
196,H2AZ2,0,0.187526496
203,LLCFC1,0,0.187526496
209,SSU72P8,0,0.187526496
237,CDC14C,0,0.187526496
260,ITPRID1,0,0.187526496
284,SEPTIN14,0,0.187526496
294,CASTOR3,0,0.187526496
304,NUPR2,0,0.187526496
315,SMIM30,0,0.187526496
336,STMP1,0,0.187526496
343,CRPPA,0,0.187526496
348,ATP6V1FNB,0,0.187526496
349,EFCAB10,0,0.187526496
350,SPATA48,0,0.187526496
363,ATP5MF-PTCD1,0,0.187526496
364,INMT-MINDY4,0,0.187526496
366,TCAF2C,0,0.187526496
370,SPDYE11,0,0.187526496
371,FMC1-LUC7L2,0,0.187526496
373,SPDYE17,0,0.187526496
375,UPK3BL2,0,0.187526496
376,FAM237B,0,0.187526496
377,H2BE1,0,0.187526496
378,CCDC201,0,0.187526496
108,ASIC3,0,0.18746099
297,NAT16,0,0.187441919
775,ABCB8,0,0.187389339
207,OR6B1,0,0.187101025
779,CPED1,0,0.186484265
391,ESYT2,0,0.186186253
439,SKAP2,0,0.18605713
384,MYO1G,0,0.186040889
64,LAMB1,0,0.185564556
61,IGFBP1,0,0.185504881
74,SLC26A4,0,0.185341403
70,OCM2,0,0.184933073
498,CDCA7L,0,0.184863376
